,Country,Confirmed,% difference in cases compared to last week
0,United States,4630,99
1,Spain,3738,19
2,Germany,2540,15
3,England,2325,13
4,France,1829,26
5,Brazil,978,61
6,Netherlands,878,23
7,Canada,744,23
8,Portugal,588,14
9,Italy,426,13
10,Belgium,393,26
11,Switzerland,264,22
12,Peru,251,99
13,Nigeria,133,31
14,Israel,133,26
15,Democratic Republic Of The Congo,107,0
16,Austria,99,19
17,Sweden,85,10
18,Ireland,85,23
19,Denmark,76,58
20,Mexico,60,50
21,Scotland,59,15
22,Poland,53,89
23,Norway,51,10
24,Chile,45,73
25,Australia,44,7
26,Hungary,37,23
27,Ghana,34,88
28,Slovenia,33,22
29,Wales,30,30
30,Greece,29,45
31,Romania,20,5
32,Argentina,20,53
33,Luxembourg,19,137
34,Northern Ireland,18,38
35,Finland,17,30
36,Malta,17,88
37,Czech Republic,16,33
38,United Arab Emirates,16,23
39,Puerto Rico,13,62
40,Colombia,12,20
41,Singapore,11,83
42,Serbia,10,900
43,Croatia,10,66
44,Iceland,9,50
45,Central African Republic,8,0
46,Cameroon,6,0
47,Estonia,5,25
48,Gibraltar,5,0
49,Bulgaria,4,33
50,India,4,100
51,Lebanon,4,300
52,Saudi Arabia,3,200
53,Benin,3,0
54,South Africa,3,0
55,Costa Rica,3,200
56,Slovakia,3,200
57,Latvia,3,50
58,Ecuador,3,50
59,Dominican Republic,3,0
60,New Zealand,2,0
61,Republic of Congo,2,0
62,Taiwan,2,0
63,Jamaica,2,100
64,Morocco,1,0
65,Martinique,1,0
66,Russia,1,0
67,South Korea,1,0
68,Georgia,1,0
69,Bosnia And Herzegovina,1,0
70,Turkey,1,0
71,Barbados,1,0
72,Venezuela,1,0
73,Panama,1,0
